asset_id,name,rated_kw,measured_kw,load_factor,efficiency_pct,power_factor,current_imbalance_pct,run_hours_per_day,criticality
M-01,BFW Pump 1,75.0,46.5,0.62,91.8,0.75,4.1,22.9,A
M-02,BFW Pump 2,55.0,18.7,0.34,85.8,0.73,3.2,20.4,B
M-03,ID Fan,110.0,116.6,1.06,90.7,0.76,4.3,22.6,A
M-04,FD Fan,90.0,79.2,0.88,92.4,0.86,3.7,19.3,B
M-05,Cooling Water Pump,37.0,11.5,0.31,86.5,0.75,4.3,20.9,C
M-06,Kiln Main Drive,160.0,174.4,1.09,90.2,0.77,4.8,20.7,A
M-07,Product Conveyor,30.0,21.0,0.7,92.0,0.78,3.8,21.7,C
M-08,Air Compressor,45.0,36.0,0.8,92.7,0.82,6.2,20.2,B
M-09,DM Water Pump,22.0,8.1,0.37,87.4,0.76,3.9,23.3,C
M-10,Dust Extraction Fan,75.0,49.5,0.66,91.9,0.76,1.8,22.3,B
