date,energy_kwh,reactive_kvarh,load_index,active_hours,mean_pf,weekend
2018-01-01,351.86,166.62,1.0,0.0,85.299375,0.0
2018-01-02,3950.43,1579.63,1.8333333333333333,14.0,84.20729166666666,0.0
2018-01-03,3561.05,1285.59,1.8333333333333333,14.0,86.10000000000001,0.0
2018-01-04,4977.72,2059.11,1.8333333333333333,14.0,84.128125,0.0
2018-01-05,4683.4,1960.6,1.8333333333333333,14.0,84.06302083333334,0.0
2018-01-06,372.96,209.83,1.0,0.0,84.00864583333333,1.0
2018-01-07,348.92,161.22,1.0,0.0,85.71739583333334,1.0
2018-01-08,5318.51,2351.88,1.8333333333333333,14.0,80.50916666666667,0.0
2018-01-09,5488.37,2169.94,1.8333333333333333,14.0,86.39635416666665,0.0
2018-01-10,4445.19,1778.58,1.8333333333333333,14.0,85.71072916666667,0.0
2018-01-11,5314.61,2298.33,1.8333333333333333,14.0,84.50604166666666,0.0
2018-01-12,5206.18,2255.66,1.8333333333333333,14.0,84.19604166666666,0.0
2018-01-13,3075.3,1156.17,1.8333333333333333,14.0,88.02291666666667,1.0
2018-01-14,980.0,253.88,1.8333333333333333,14.0,87.68385416666666,1.0
2018-01-15,3968.64,2050.75,1.8333333333333333,14.0,83.608125,0.0
2018-01-16,4084.72,2134.17,1.8333333333333333,14.0,80.88208333333334,0.0
2018-01-17,3438.23,1376.79,1.8333333333333333,14.0,85.9421875,0.0
2018-01-18,7353.84,3490.23,1.8333333333333333,14.0,87.93624999999999,0.0
2018-01-19,7175.1,3194.14,1.8333333333333333,14.0,90.04124999999999,0.0
2018-01-20,5013.58,1887.96,1.8333333333333333,14.0,92.8384375,1.0
2018-01-21,1189.8,729.65,1.0,0.0,88.85416666666667,1.0
2018-01-22,4018.12,2007.63,1.8333333333333333,14.0,85.33479166666666,0.0
2018-01-23,5216.8,2682.32,1.8333333333333333,14.0,87.48291666666667,0.0
2018-01-24,4869.4,2347.07,1.8333333333333333,14.0,88.93510416666668,0.0
2018-01-25,4987.04,2409.79,1.8333333333333333,14.0,88.54666666666667,0.0
2018-01-26,7069.29,3040.14,1.8333333333333333,14.0,88.6334375,0.0
2018-01-27,1662.21,483.32,1.8333333333333333,14.0,90.81614583333334,1.0
2018-01-28,1193.85,277.29,1.8333333333333333,14.0,85.46791666666667,1.0
2018-01-29,5548.65,2205.12,1.8333333333333333,14.0,85.65625,0.0
2018-01-30,5233.08,2146.15,1.8333333333333333,14.0,87.234375,0.0
2018-01-31,6141.44,2311.63,1.8333333333333333,14.0,88.40927083333334,0.0
2018-02-01,6114.66,2811.34,1.8333333333333333,14.0,86.51364583333333,0.0
2018-02-02,4048.61,1383.02,1.8333333333333333,14.0,89.06260416666667,0.0
2018-02-03,2715.1,712.54,1.8333333333333333,14.0,89.82510416666666,1.0
2018-02-04,604.24,333.08,1.0,0.0,87.20895833333333,1.0
2018-02-05,5028.69,1704.85,1.8333333333333333,14.0,86.9209375,0.0
2018-02-06,4741.22,1786.1,1.8333333333333333,14.0,89.24489583333333,0.0
2018-02-07,3677.07,1458.96,1.8333333333333333,14.0,87.04312499999999,0.0
2018-02-08,4902.05,2031.18,1.8333333333333333,14.0,84.98156250000001,0.0
2018-02-09,5070.37,2090.04,1.8333333333333333,14.0,86.89666666666666,0.0
2018-02-10,801.21,383.01,1.0,0.0,89.89166666666667,1.0
2018-02-11,413.76,176.5,1.0,0.0,86.97072916666667,1.0
2018-02-12,3968.94,1503.8,1.8333333333333333,14.0,86.7109375,0.0
2018-02-13,5060.72,1651.89,1.8333333333333333,14.0,87.63020833333333,0.0
2018-02-14,663.1800000000001,344.98,1.0,0.0,87.50760416666667,0.0
2018-02-15,334.54,205.17,1.0,0.0,81.78333333333333,0.0
2018-02-16,331.64,154.81,1.0,0.0,85.49593750000001,0.0
2018-02-17,339.23,177.95,1.0,0.0,83.5846875,1.0
2018-02-18,338.39,179.66,1.0,0.0,83.3196875,1.0
2018-02-19,4275.49,1839.46,1.8333333333333333,14.0,80.97520833333333,0.0
2018-02-20,5853.61,2127.05,1.8333333333333333,14.0,88.21145833333333,0.0
2018-02-21,5455.38,2094.63,1.8333333333333333,14.0,87.62510416666667,0.0
2018-02-22,6161.2,2691.23,1.8333333333333333,14.0,86.74354166666666,0.0
2018-02-23,4637.49,2233.81,1.8333333333333333,14.0,83.67114583333334,0.0
2018-02-24,4856.52,1198.34,1.8333333333333333,14.0,91.105,1.0
2018-02-25,620.22,323.59999999999997,1.0,0.0,86.94760416666666,1.0
2018-02-26,2933.93,1001.4399999999999,1.8333333333333333,14.0,87.81395833333333,0.0
2018-02-27,3231.05,1381.55,1.8333333333333333,14.0,85.93875000000001,0.0
2018-02-28,4318.83,1913.31,1.8333333333333333,14.0,83.36114583333334,0.0
2018-03-01,1674.44,506.39,1.8333333333333333,14.0,84.14572916666667,0.0
2018-03-02,2697.1,614.92,1.8333333333333333,14.0,88.58031249999999,0.0
2018-03-03,1556.66,390.36,1.8333333333333333,14.0,87.11989583333333,1.0
2018-03-04,320.03,176.7,1.0,0.0,82.78395833333333,1.0
2018-03-05,3701.6,1516.18,1.8333333333333333,14.0,82.0209375,0.0
2018-03-06,3742.52,1651.17,1.8333333333333333,14.0,84.48635416666666,0.0
2018-03-07,3497.73,1360.98,1.8333333333333333,14.0,85.73166666666667,0.0
2018-03-08,3358.79,1384.77,1.8333333333333333,14.0,87.57916666666667,0.0
2018-03-09,2264.27,845.87,1.8333333333333333,14.0,88.89135416666666,0.0
2018-03-10,941.41,146.58,1.8333333333333333,14.0,88.49374999999999,1.0
2018-03-11,1829.81,324.36,1.8333333333333333,14.0,87.01395833333333,1.0
2018-03-12,3389.2400000000002,1145.46,1.8333333333333333,14.0,82.50229166666666,0.0
2018-03-13,3477.88,1714.9099999999999,1.8333333333333333,14.0,79.155,0.0
2018-03-14,2778.75,1349.93,1.8333333333333333,14.0,79.638125,0.0
2018-03-15,4388.0,2260.65,1.8333333333333333,14.0,76.30197916666667,0.0
2018-03-16,4221.04,1888.0,1.8333333333333333,14.0,80.12958333333333,0.0
2018-03-17,2009.56,494.97,1.8333333333333333,14.0,86.08458333333334,1.0
2018-03-18,306.75,142.63,1.0,0.0,85.78947916666668,1.0
2018-03-19,3147.16,1457.76,1.8333333333333333,14.0,81.38208333333334,0.0
2018-03-20,2852.02,1226.41,1.8333333333333333,14.0,81.8015625,0.0
2018-03-21,3580.62,1376.82,1.8333333333333333,14.0,82.37520833333333,0.0
2018-03-22,3593.9700000000003,1316.67,1.8333333333333333,14.0,83.02677083333333,0.0
2018-03-23,4757.31,2048.1,1.8333333333333333,14.0,80.77843750000001,0.0
2018-03-24,1307.41,344.88,1.8333333333333333,14.0,84.02729166666667,1.0
2018-03-25,1246.34,262.44,1.8333333333333333,14.0,85.33114583333334,1.0
2018-03-26,2888.37,1038.81,1.8333333333333333,14.0,82.9715625,0.0
2018-03-27,2384.91,979.51,1.8333333333333333,14.0,81.76520833333333,0.0
2018-03-28,2368.05,948.04,1.8333333333333333,14.0,82.83520833333334,0.0
2018-03-29,3185.04,1537.63,1.8333333333333333,14.0,79.59520833333333,0.0
2018-03-30,2474.34,1393.41,1.8333333333333333,14.0,79.69291666666668,0.0
2018-03-31,289.29,173.17000000000002,1.0,0.0,81.70614583333334,1.0
2018-04-01,289.82,166.81,1.0,0.0,81.75166666666667,1.0
2018-04-02,3031.52,1374.76,1.8333333333333333,14.0,78.53229166666667,0.0
2018-04-03,4069.87,2012.97,1.8333333333333333,14.0,79.2428125,0.0
2018-04-04,2331.25,1280.81,1.8333333333333333,14.0,80.63895833333333,0.0
2018-04-05,2741.09,1115.24,1.8333333333333333,14.0,81.71135416666667,0.0
2018-04-06,4166.75,1468.43,1.8333333333333333,14.0,79.91875,0.0
2018-04-07,2550.03,730.44,1.8333333333333333,14.0,81.11208333333333,1.0
2018-04-08,2067.65,650.76,1.8333333333333333,14.0,81.53291666666667,1.0
2018-04-09,3898.05,1892.29,1.8333333333333333,14.0,80.21927083333334,0.0
2018-04-10,2864.47,1393.97,1.8333333333333333,14.0,82.03614583333334,0.0
2018-04-11,3232.41,1706.35,1.8333333333333333,14.0,77.72666666666667,0.0
2018-04-12,2907.03,1442.64,1.8333333333333333,14.0,78.18645833333333,0.0
2018-04-13,2517.62,986.3100000000001,1.8333333333333333,14.0,80.99010416666667,0.0
2018-04-14,1301.19,299.71999999999997,1.8333333333333333,14.0,84.10989583333334,1.0
2018-04-15,319.57,166.57999999999998,1.0,0.0,83.8540625,1.0
2018-04-16,2910.95,1450.46,1.8333333333333333,14.0,81.4071875,0.0
2018-04-17,4124.27,1786.64,1.8333333333333333,14.0,81.95083333333334,0.0
2018-04-18,3074.54,1493.35,1.8333333333333333,14.0,84.61072916666667,0.0
2018-04-19,2764.79,1368.83,1.8333333333333333,14.0,81.5165625,0.0
2018-04-20,3360.04,1605.33,1.8333333333333333,14.0,81.75114583333333,0.0
2018-04-21,1812.66,516.19,1.8333333333333333,14.0,84.44458333333334,1.0
2018-04-22,1215.6299999999999,331.51,1.8333333333333333,14.0,82.00625000000001,1.0
2018-04-23,2750.05,1162.54,1.8333333333333333,14.0,81.39979166666667,0.0
2018-04-24,2886.53,1199.18,1.8333333333333333,14.0,82.11864583333333,0.0
2018-04-25,3465.59,1638.3600000000001,1.8333333333333333,14.0,82.29677083333333,0.0
2018-04-26,4122.19,2064.88,1.8333333333333333,14.0,80.51625,0.0
2018-04-27,3644.21,1598.22,1.8333333333333333,14.0,83.48125,0.0
2018-04-28,1652.59,322.16,1.8333333333333333,14.0,85.8803125,1.0
2018-04-29,290.65,160.96,1.0,0.0,82.04822916666667,1.0
