date,energy_kwh,production_tonnes,ambient_temp_c,operating_hours,grid_pf,tariff_period
2024-12-05,9900.0,94.4,22.2,22.8,0.863,peak
2024-12-06,9381.0,83.7,23.9,22.3,0.842,peak
2024-12-07,10791.0,98.0,26.0,23.0,0.87,offpeak
2024-12-08,10318.0,99.5,25.1,22.6,0.887,peak
2024-12-09,8781.0,76.4,24.8,22.6,0.848,offpeak
2024-12-10,9134.0,81.6,25.0,22.1,0.885,peak
2024-12-11,10013.0,93.0,25.6,21.0,0.746,offpeak
2024-12-12,9605.0,89.5,23.1,20.8,0.904,peak
2024-12-13,10401.0,91.9,26.5,23.2,0.855,peak
2024-12-14,9741.0,85.2,26.4,22.2,0.883,offpeak
2024-12-15,10623.0,99.0,25.8,21.8,0.791,offpeak
2024-12-16,10583.0,98.2,26.0,22.5,0.807,peak
2024-12-17,10271.0,92.5,25.5,23.4,0.846,peak
2024-12-18,10747.0,101.0,28.9,22.7,0.839,peak
2024-12-19,10389.0,95.7,24.6,21.8,0.851,peak
2024-12-20,9509.0,85.1,24.1,23.8,0.883,peak
2024-12-21,10486.0,95.0,23.2,24.0,0.769,offpeak
2024-12-22,9647.0,84.3,22.6,23.0,0.879,peak
2024-12-23,10602.0,99.0,22.1,23.6,0.84,offpeak
2024-12-24,10061.0,91.6,22.8,23.9,0.832,peak
2024-12-25,10119.0,90.5,24.4,23.7,0.781,peak
2024-12-26,9330.0,86.6,25.1,23.2,0.86,offpeak
2024-12-27,10869.0,101.8,24.5,23.2,0.743,peak
2024-12-28,9938.0,90.8,22.8,23.1,0.866,offpeak
2024-12-29,9746.0,88.6,26.1,21.3,0.78,peak
2024-12-30,10078.0,89.2,25.8,23.3,0.842,offpeak
2024-12-31,10185.0,96.3,24.0,21.0,0.835,offpeak
2025-01-01,9949.0,94.9,23.0,21.6,0.887,offpeak
2025-01-02,10436.0,95.3,25.3,23.9,0.833,peak
2025-01-03,10403.0,95.4,24.6,23.4,0.812,peak
2025-01-04,11100.0,106.0,21.3,24.0,0.82,peak
2025-01-05,9796.0,88.7,24.0,22.2,0.891,peak
2025-01-06,9794.0,87.9,24.7,21.2,0.861,peak
2025-01-07,9322.0,85.5,22.3,22.2,0.825,peak
2025-01-08,10445.0,96.9,24.5,22.6,0.831,peak
2025-01-09,10789.0,101.0,21.2,22.6,0.777,peak
2025-01-10,9925.0,91.1,26.7,23.7,0.856,peak
2025-01-11,9635.0,85.3,26.5,22.1,0.77,peak
2025-01-12,9494.0,85.4,23.5,22.9,0.87,peak
2025-01-13,10276.0,97.2,24.8,21.4,0.845,offpeak
2025-01-14,10216.0,97.9,20.0,23.0,0.935,peak
2025-01-15,10233.0,96.3,21.7,22.5,0.796,peak
2025-01-16,9813.0,86.7,23.4,21.7,0.836,peak
2025-01-17,9870.0,93.9,21.9,22.2,0.912,offpeak
2025-01-18,9958.0,92.9,25.4,22.3,0.888,peak
2025-01-19,10082.0,93.7,28.0,22.2,0.812,offpeak
2025-01-20,10863.0,99.0,21.6,24.0,0.849,offpeak
2025-01-21,10019.0,93.8,22.3,22.4,0.84,peak
2025-01-22,10413.0,97.4,24.5,22.2,0.851,offpeak
2025-01-23,9916.0,92.5,27.2,20.2,0.812,offpeak
2025-01-24,9873.0,94.3,21.6,21.5,0.836,peak
2025-01-25,10353.0,97.1,24.5,22.2,0.776,peak
2025-01-26,9604.0,80.3,27.7,21.7,0.845,offpeak
2025-01-27,10075.0,89.4,20.8,24.0,0.858,offpeak
2025-01-28,9527.0,88.2,21.5,22.3,0.831,peak
2025-01-29,9866.0,86.9,23.2,23.9,0.775,peak
2025-01-30,9723.0,89.8,23.1,22.6,0.88,offpeak
2025-01-31,10673.0,104.0,25.8,22.5,0.855,peak
2025-02-01,9696.0,85.1,24.6,22.4,0.811,offpeak
2025-02-02,10646.0,99.7,20.6,22.5,0.829,peak
2025-02-03,9399.0,78.5,25.2,24.0,0.78,offpeak
2025-02-04,9496.0,89.3,23.1,19.9,0.799,offpeak
2025-02-05,10000.0,93.3,26.8,20.3,0.818,offpeak
2025-02-06,10393.0,96.7,23.0,21.9,0.889,offpeak
2025-02-07,10470.0,97.7,23.1,22.5,0.814,offpeak
2025-02-08,10555.0,98.3,25.4,23.3,0.866,offpeak
2025-02-09,9713.0,89.2,25.9,23.0,0.818,offpeak
2025-02-10,9794.0,88.3,25.3,22.1,0.85,peak
2025-02-11,10694.0,98.9,21.1,23.6,0.834,offpeak
2025-02-12,9910.0,90.5,25.6,23.6,0.875,peak
2025-02-13,9349.0,81.8,22.5,22.7,0.819,offpeak
2025-02-14,9569.0,82.9,25.1,23.6,0.777,offpeak
2025-02-15,9555.0,84.6,21.8,22.8,0.785,peak
2025-02-16,10457.0,96.0,25.6,21.9,0.819,peak
2025-02-17,10050.0,93.1,23.1,23.3,0.79,peak
2025-02-18,10124.0,97.5,22.2,22.6,0.856,offpeak
2025-02-19,9795.0,88.6,26.3,22.5,0.821,peak
2025-02-20,10458.0,93.3,25.4,24.0,0.935,peak
2025-02-21,10045.0,97.0,23.7,19.8,0.77,offpeak
2025-02-22,9753.0,89.5,27.9,20.9,0.848,offpeak
2025-02-23,9902.0,95.7,24.2,21.2,0.795,peak
2025-02-24,9914.0,86.7,25.2,22.1,0.82,peak
2025-02-25,9986.0,89.1,25.7,22.2,0.846,offpeak
2025-02-26,9768.0,88.9,24.0,20.8,0.747,offpeak
2025-02-27,9463.0,82.4,26.3,21.4,0.849,offpeak
2025-02-28,10325.0,95.9,24.3,21.6,0.916,peak
2025-03-01,9893.0,88.2,24.6,24.0,0.822,peak
2025-03-02,10319.0,92.1,28.2,24.0,0.85,peak
2025-03-03,10183.0,95.8,23.5,22.0,0.881,offpeak
2025-03-04,10533.0,95.6,20.8,22.1,0.833,peak
2025-03-05,10572.0,97.3,29.0,21.2,0.817,peak
2025-03-06,9970.0,91.2,30.9,20.4,0.749,offpeak
2025-03-07,9887.0,88.6,25.1,22.4,0.866,offpeak
2025-03-08,9662.0,91.4,22.1,21.4,0.835,offpeak
